src_ip,dst_ip,protocol,time_bin,start_time,end_time,packet_count,total_bytes,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,duration_s,packets_per_s,bytes_per_s
142.250.117.207,192.168.68.114,6,29512424,1770745470.723201,1770745471.075389,18,11161,620.0555555555555,592.5100616889257,72,1472,0.3521878719329834,51.10908533336763,31690.472300317564
142.250.117.207,192.168.68.114,6,29512425,1770745517.117948,1770745517.117948,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.207,192.168.68.114,6,29512426,1770745562.162701,1770745607.266217,2,144,72.0,0.0,72,72,45.10351610183716,0.04434244096367768,3.192655749384793
142.250.117.207,192.168.68.114,6,29512427,1770745652.294652,1770745652.294652,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.207,192.168.68.114,6,29512428,1770745697.43302,1770745710.998948,3,289,96.33333333333333,42.14656965084268,72,145,13.565927982330322,0.22114226198956036,21.303371238327646
142.250.117.207,192.168.68.114,17,29512424,1770745470.995629,1770745471.27743,26,19608,754.1538461538462,563.7620556445914,72,1298,0.2818009853363037,92.26369442594878,69581.02001169245
142.250.117.91,192.168.68.114,6,29512420,1770745229.557271,1770745235.616917,23,13355,580.6521739130435,625.3483108487804,72,1472,6.059645891189575,3.7956013293517463,2203.924163195329
142.250.117.91,192.168.68.114,6,29512421,1770745281.393365,1770745281.393365,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.91,192.168.68.114,6,29512422,1770745326.630875,1770745371.687038,2,144,72.0,0.0,72,72,45.05616283416748,0.04438904412169201,3.1960111767618247
142.250.117.91,192.168.68.114,6,29512423,1770745416.747614,1770745416.747614,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.91,192.168.68.114,6,29512424,1770745461.803686,1770745475.726818,3,289,96.33333333333333,42.14656965084268,72,145,13.923132181167603,0.2154687581044295,20.756823697393376
